"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06019","Fresno County, California","301824","1180","null","null","23007","null","1047","null","20985","null","1044","null","17877","1081","null","null","18396","923","null","null","16906","880","null","null","17331","null","1022","null","13195","null","744","null","14244","915","null","null","11931","793","null","null","23197","null","1114","null","28641","null","1075","null","33995","null","1254","null","21894","962","null","null","13221","717","null","null","14789","null","721","null","12215","null","652","null",
"0500000US06021","Glenn County, California","9936","238","null","null","908","null","246","null","848","null","199","null","742","188","null","null","592","157","null","null","470","159","null","null","419","null","105","null","358","null","153","null","506","153","null","null","524","131","null","null","989","null","216","null","983","null","228","null","999","null","169","null","676","195","null","null","457","156","null","null","312","null","93","null","153","null","62","null",
"0500000US06023","Humboldt County, California","53966","755","null","null","3997","null","399","null","4289","null","448","null","3434","396","null","null","3633","473","null","null","3459","394","null","null","3134","null","446","null","2839","null","389","null","2869","377","null","null","2353","266","null","null","4815","null","438","null","5111","null","477","null","6053","null","538","null","2910","329","null","null","1969","299","null","null","1495","null","252","null","1606","null","260","null",
"0500000US06025","Imperial County, California","45198","731","null","null","3781","null","436","null","4339","null","421","null","2977","405","null","null","2762","393","null","null","2287","325","null","null","2646","null","414","null","1876","null","281","null","2015","353","null","null","1563","256","null","null","2926","null","386","null","4528","null","551","null","5065","null","446","null","3416","346","null","null","1944","317","null","null","1849","null","274","null","1224","null","275","null",
"0500000US06027","Inyo County, California","8026","218","null","null","209","null","69","null","553","null","136","null","503","144","null","null","382","94","null","null","625","151","null","null","448","null","131","null","363","null","107","null","548","136","null","null","313","88","null","null","555","null","126","null","975","null","202","null","975","null","156","null","674","116","null","null","386","97","null","null","258","null","68","null","259","null","77","null",
"0500000US06029","Kern County, California","264993","1465","null","null","17815","null","1086","null","16030","null","918","null","14808","845","null","null","16602","875","null","null","14480","908","null","null","14385","null","789","null","13626","null","868","null","12193","680","null","null","10640","798","null","null","19709","null","1056","null","26874","null","1162","null","30218","null","1169","null","22873","1131","null","null","11187","755","null","null","13647","null","983","null","9906","null","667","null",
"0500000US06031","Kings County, California","42349","476","null","null","2410","null","325","null","2643","null","346","null","2186","318","null","null","2335","371","null","null","2379","359","null","null","2342","null","332","null","2437","null","413","null","2271","323","null","null","2286","304","null","null","2898","null","384","null","4463","null","437","null","5731","null","506","null","3384","416","null","null","1641","263","null","null","1678","null","272","null","1265","null","245","null",
"0500000US06033","Lake County, California","26327","607","null","null","2588","null","409","null","2186","null","302","null","2129","387","null","null","1735","281","null","null","1768","315","null","null","1581","null","304","null","1071","null","258","null","1018","191","null","null","1079","235","null","null","1954","null","331","null","2401","null","306","null","3038","null","459","null","1525","259","null","null","962","196","null","null","720","null","175","null","572","null","159","null",
"0500000US06035","Lassen County, California","9441","341","null","null","609","null","164","null","631","null","127","null","440","97","null","null","570","131","null","null","452","125","null","null","390","null","94","null","346","null","104","null","450","114","null","null","388","126","null","null","889","null","212","null","1134","null","206","null","1183","null","186","null","783","139","null","null","382","96","null","null","564","null","125","null","230","null","75","null",
"0500000US06037","Los Angeles County, California","3295198","5018","null","null","201863","null","3086","null","178737","null","2595","null","156089","2589","null","null","162639","2601","null","null","144700","2324","null","null","149564","null","2398","null","135954","null","2513","null","138917","2377","null","null","120529","2357","null","null","233537","null","3013","null","306351","null","3356","null","387502","null","4162","null","287785","3613","null","null","189618","2665","null","null","224078","null","2648","null","277335","null","3455","null",
