"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1400000US06013345203","Census Tract 3452.03, Contra Costa County, California","2634","null","102","null","0","null","17","null","31","null","34","null","83","null","68","null","13","null","21","null","44","null","40","null","84","null","80","null","108","null","64","null","13","null","20","null","44","41","null","null","117","79","null","null","197","null","111","null","300","97","null","null","260","null","103","null","347","154","null","null","243","null","113","null","750","null","153","null",
"1400000US06013345204","Census Tract 3452.04, Contra Costa County, California","1247","null","68","null","24","null","22","null","11","null","17","null","10","null","16","null","0","null","12","null","28","null","26","null","40","null","48","null","13","null","20","null","42","null","33","null","27","31","null","null","28","33","null","null","81","null","42","null","80","46","null","null","117","null","59","null","137","80","null","null","126","null","60","null","483","null","94","null",
"1400000US06013346101","Census Tract 3461.01, Contra Costa County, California","1259","null","65","null","39","null","46","null","26","null","23","null","7","null","11","null","8","null","12","null","6","null","9","null","62","null","44","null","40","null","42","null","7","null","10","null","17","16","null","null","40","29","null","null","36","null","28","null","83","41","null","null","81","null","43","null","165","58","null","null","77","null","41","null","565","null","90","null",
"1400000US06013346102","Census Tract 3461.02, Contra Costa County, California","1991","null","73","null","17","null","19","null","9","null","14","null","25","null","26","null","11","null","17","null","9","null","13","null","21","null","23","null","6","null","10","null","18","null","20","null","74","59","null","null","20","22","null","null","66","null","43","null","212","89","null","null","143","null","64","null","179","71","null","null","252","null","87","null","929","null","140","null",
"1400000US06013346201","Census Tract 3462.01, Contra Costa County, California","2754","null","98","null","96","null","91","null","76","null","67","null","31","null","35","null","112","null","85","null","39","null","40","null","33","null","39","null","47","null","43","null","89","null","57","null","120","99","null","null","90","58","null","null","96","null","66","null","228","105","null","null","334","null","153","null","58","48","null","null","294","null","124","null","1011","null","192","null",
"1400000US06013346203","Census Tract 3462.03, Contra Costa County, California","1372","null","71","null","18","null","22","null","68","null","70","null","38","null","29","null","24","null","25","null","0","null","12","null","0","null","12","null","6","null","12","null","9","null","15","null","0","12","null","null","63","48","null","null","106","null","49","null","126","56","null","null","138","null","70","null","207","82","null","null","128","null","59","null","441","null","112","null",
"1400000US06013346204","Census Tract 3462.04, Contra Costa County, California","2504","null","87","null","49","null","58","null","0","null","17","null","0","null","17","null","35","null","33","null","12","null","18","null","27","null","30","null","44","null","37","null","0","null","17","null","58","71","null","null","148","92","null","null","122","null","51","null","115","62","null","null","209","null","92","null","188","80","null","null","376","null","115","null","1121","null","159","null",
"1400000US06013347000","Census Tract 3470, Contra Costa County, California","2358","null","102","null","0","null","17","null","36","null","39","null","28","null","33","null","76","null","75","null","18","null","27","null","24","null","28","null","91","null","77","null","114","null","91","null","46","43","null","null","69","52","null","null","35","null","38","null","234","101","null","null","188","null","83","null","201","90","null","null","355","null","128","null","843","null","139","null",
"1400000US06013348000","Census Tract 3480, Contra Costa County, California","1626","null","111","null","46","null","36","null","10","null","15","null","19","null","20","null","0","null","12","null","45","null","33","null","0","null","12","null","18","null","19","null","38","null","29","null","37","29","null","null","89","58","null","null","92","null","53","null","136","57","null","null","119","null","54","null","133","56","null","null","212","null","60","null","632","null","116","null",
"1400000US06013349000","Census Tract 3490, Contra Costa County, California","1924","null","115","null","119","null","57","null","64","null","39","null","85","null","54","null","55","null","54","null","66","null","52","null","74","null","38","null","8","null","14","null","83","null","70","null","54","37","null","null","62","35","null","null","134","null","80","null","85","39","null","null","178","null","67","null","120","54","null","null","287","null","94","null","450","null","99","null",
