"GEO_ID","NAME","P004001","P004002","P004003","P004004","P004005","P004006","P004007","P004008","P004009","P004010","P004011","P004012","P004013","P004014","P004015","P004016","P004017","P004018","P004019","P004020","P004021","P004022","P004023","P004024","P004025","P004026","P004027","P004028","P004029","P004030","P004031","P004032","P004033","P004034","P004035","P004036","P004037","P004038","P004039","P004040","P004041","P004042","P004043","P004044","P004045","P004046","P004047","P004048","P004049","P004050","P004051","P004052","P004053","P004054","P004055","P004056","P004057","P004058","P004059","P004060","P004061","P004062","P004063","P004064","P004065","P004066","P004067","P004068","P004069","P004070","P004071","P004072","P004073",
"1400000US06037463300","Census Tract 4633, Los Angeles County, California","2057","360","1697","1611","1219","88","3","297","1","3","86","76","7","8","16","1","25","2","2","0","0","0","0","0","8","7","0","9","5","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"1400000US06037463400","Census Tract 4634, Los Angeles County, California","5688","1222","4466","4241","2804","396","11","1010","2","18","225","209","33","13","49","0","71","8","6","0","7","4","0","0","4","14","0","13","3","0","0","3","0","0","0","3","1","0","0","1","1","0","0","0","0","0","0","1","3","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037463500","Census Tract 4635, Los Angeles County, California","5396","538","4858","4701","3165","242","10","1266","6","12","157","147","9","12","51","2","49","1","6","0","0","1","0","0","10","6","0","9","4","1","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037463600","Census Tract 4636, Los Angeles County, California","8698","1234","7464","7177","4844","675","17","1599","5","37","287","271","31","31","75","2","74","5","4","0","11","5","0","1","16","16","0","14","6","1","0","1","0","0","1","2","3","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037463700","Census Tract 4637, Los Angeles County, California","1745","263","1482","1449","1277","66","1","99","2","4","33","27","5","5","7","1","7","0","1","0","1","0","0","0","0","0","0","6","2","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037463800","Census Tract 4638, Los Angeles County, California","3805","376","3429","3317","2807","92","3","405","6","4","112","106","9","12","65","2","17","0","1","0","0","0","0","0","0","0","0","6","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037463900","Census Tract 4639, Los Angeles County, California","3286","382","2904","2837","2419","159","6","241","1","11","67","59","10","9","21","0","12","3","2","0","0","0","0","0","1","1","0","7","1","0","0","2","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037464000","Census Tract 4640, Los Angeles County, California","5474","683","4791","4665","3571","259","4","802","11","18","126","120","13","6","50","5","25","1","5","0","3","0","0","0","3","9","0","4","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0",
"1400000US06037464100","Census Tract 4641, Los Angeles County, California","7081","370","6711","6583","3646","20","0","2897","5","15","128","127","3","0","95","1","10","0","1","0","1","5","0","0","5","6","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037464200","Census Tract 4642, Los Angeles County, California","5848","202","5646","5505","2121","9","0","3362","4","9","141","138","1","9","33","3","26","0","0","0","0","4","0","0","32","30","0","3","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
