bgp2000gj,bg2010gj,bg2010ge,wt_pop,wt_fam,wt_hh,wt_hu
G06000109020006000423400U3,G06000104234003,060014234003,1.0,1.0,1.0,1.0
G06000109020006000423400U4,G06000104234004,060014234004,1.0,1.0,1.0,1.0
G06000109020006000423500U1,G06000104235001,060014235001,1.0,1.0,1.0,1.0
G06000109020006000423500U2,G06000104235002,060014235002,1.0,1.0,1.0,1.0
G06000109020006000423500U3,G06000104235003,060014235003,1.0,1.0,1.0,1.0
G06000109020006000423601U1,G06000104236011,060014236011,1.0,1.0,1.0,1.0
G06000109020006000423601U2,G06000104236012,060014236012,1.0,1.0,1.0,1.0
G06000109020006000423602U1,G06000104236021,060014236021,0.5125239955,0.5249103429,0.5136685385,0.5109958011
G06000109020006000423602U1,G06000104236022,060014236022,0.4874760045,0.4750896571,0.4863314615,0.4890041989
G06000109020006000423602U2,G06000104236023,060014236023,1.0,1.0,1.0,1.0
G06000109020006000423700U1,G06000104237001,060014237001,1.0,1.0,1.0,1.0
G06000109020006000423700U2,G06000104237002,060014237002,1.0,1.0,1.0,1.0
G06000109020006000423700U3,G06000104237003,060014237003,1.0,1.0,1.0,1.0
G06000109020006000423800U1,G06000104238001,060014238001,1.0,1.0,1.0,1.0
G06000109020006000423800U2,G06000104238001,060014238001,0.1116825863,0.1243386243,0.1186440678,0.1174311927
G06000109020006000423800U2,G06000104238002,060014238002,0.8883174137,0.8756613757,0.8813559322,0.8825688073
G06000109020006000423800U3,G06000104238003,060014238003,1.0,1.0,1.0,1.0
G06000109020006000423901U1,G06000104239011,060014239011,1.0,1.0,1.0,1.0
G06000109020006000423901U2,G06000104239012,060014239012,1.0,1.0,1.0,1.0
G06000109020006000423902U1,G06000104239021,060014239021,1.0,1.0,1.0,1.0
G06000109020006000423902U2,G06000104239022,060014239022,1.0,1.0,1.0,1.0
G06000109020006000424001U1,G06000104240011,060014240011,1.0,1.0,1.0,1.0
G06000109020006000424001U2,G06000104240012,060014240012,1.0,1.0,1.0,1.0
G06000109020006000424001U3,G06000104240013,060014240013,1.0,1.0,1.0,1.0
G06000109020006000424001U4,G06000104240014,060014240014,1.0,1.0,1.0,1.0
G06000109020006000424002U1,G06000104240021,060014240021,1.0,1.0,1.0,1.0
G06000109020006000424002U2,G06000104240022,060014240022,1.0,1.0,1.0,1.0
G06000109020099999423700U2,G06000104237002,060014237002,0.0,0.0,0.0,0.0
G06000109107026000440100R1,G06000104401001,060014401001,0.0,0.0,0.0,0.0
G06000109107026000441100R2,G06000104411002,060014411002,1.0,1.0,1.0,1.0
G06000109107026000441100U1,G06000104411001,060014411001,1.0,1.0,1.0,1.0
G06000109107026000441100U2,G06000104411002,060014411002,1.0,1.0,1.0,1.0
G06000109107026000441200U1,G06000104412001,060014412001,1.0,1.0,1.0,1.0
G06000109107026000441200U2,G06000104412002,060014412002,1.0,1.0,1.0,1.0
G06000109107026000441200U3,G06000104412003,060014412003,1.0,1.0,1.0,1.0
G06000109107026000441301U1,G06000104413011,060014413011,1.0,1.0,1.0,1.0
G06000109107026000441301U2,G06000104413012,060014413012,1.0,1.0,1.0,1.0
G06000109107026000441302U1,G06000104413021,060014413021,0.5816164818,0.5830346476,0.5284629981,0.5301886792
G06000109107026000441302U1,G06000104413022,060014413022,0.4183835182,0.4169653524,0.4715370019,0.4698113208
G06000109107026000441302U2,G06000104413024,060014413024,1.0,1.0,1.0,1.0
G06000109107026000441302U3,G06000104413023,060014413023,1.0,1.0,1.0,1.0
G06000109107026000441401U1,G06000104414011,060014414011,0.4617437722,0.4689578714,0.4948006932,0.4948453608
G06000109107026000441401U1,G06000104414012,060014414012,0.5382562278,0.5310421286,0.5051993068,0.5051546392
G06000109107026000441401U2,G06000104414014,060014414014,1.0,1.0,1.0,1.0
G06000109107026000441401U3,G06000104414013,060014414013,1.0,1.0,1.0,1.0
G06000109107026000441402U1,G06000104414013,060014414013,0.0001288866,0.0001227489,0.0001226308,0.0001230179
G06000109107026000441402U1,G06000104414021,060014414021,0.9998711134,0.9998772511,0.9998773692,0.9998769821
G06000109107026000441402U2,G06000104414013,060014414013,0.0004995833,0.0005078661,0.0006619772,0.0006681389
G06000109107026000441402U2,G06000104414022,060014414022,0.9995004167,0.9994921339,0.9993380228,0.9993318611
G06000109107026000441402U3,G06000104414023,060014414023,1.0,1.0,1.0,1.0
G06000109107026000441503R1,G06000104415031,060014415031,1.0,1.0,1.0,1.0
G06000109107026000441503R1,G06000109900000,060019900000,0.0,0.0,0.0,0.0
G06000109107026000441503R2,G06000104415031,060014415031,0.0,0.0,0.0,0.0
G06000109107026000441503R2,G06000109900000,060019900000,0.0,0.0,0.0,0.0
G06000109107026000441503U1,G06000104415031,060014415031,1.0,1.0,1.0,1.0
G06000109107026000441503U2,G06000104415031,060014415031,0.4595851715,0.4709998918,0.486499694,0.4871850823
G06000109107026000441503U2,G06000104415032,060014415032,0.5404148285,0.5290001082,0.513500306,0.5128149177
G06000109107026000441503U3,G06000104415242,060014415242,0.0,0.0,0.0,0.0
G06000109107026000441503U4,G06000104415241,060014415241,0.6701895859,0.6588968604,0.6521982299,0.6542024922
G06000109107026000441503U4,G06000104415242,060014415242,0.3298104141,0.3411031396,0.3478017701,0.3457975078
G06000109107026000441503U5,G06000104415231,060014415231,0.3757240653,0.4031311155,0.3855595668,0.3872584109
G06000109107026000441503U5,G06000104415232,060014415232,0.2814639284,0.2739726027,0.3487364621,0.3478883321
G06000109107026000441503U5,G06000104415233,060014415233,0.3428120063,0.3228962818,0.2657039711,0.264853257
G06000109107026000441521U1,G06000104415211,060014415211,1.0,1.0,1.0,1.0
G06000109107026000441521U2,G06000104415212,060014415212,0.5418733586,0.5495283019,0.5604626709,0.5598335068
G06000109107026000441521U2,G06000104415213,060014415213,0.4581266414,0.4504716981,0.4395373291,0.4401664932
G06000109107026000441521U3,G06000104415214,060014415214,1.0,1.0,1.0,1.0
G06000109107026000441522U1,G06000104415221,060014415221,1.0,1.0,1.0,1.0
G06000109107026000441522U2,G06000104415222,060014415222,0.425537563,0.4316939891,0.442144873,0.4417520969
G06000109107026000441522U2,G06000104415223,060014415223,0.574462437,0.5683060109,0.557855127,0.5582479031
G06000109107026000441601U1,G06000104416011,060014416011,0.2511878366,0.2541966427,0.2403100775,0.2428298279
G06000109107026000441601U1,G06000104416012,060014416012,0.7488121634,0.7458033573,0.7596899225,0.7571701721
G06000109107026000441601U2,G06000104416013,060014416013,1.0,1.0,1.0,1.0
G06000109107026000441602U1,G06000104416021,060014416021,1.0,1.0,1.0,1.0
G06000109107026000441602U2,G06000104416022,060014416022,1.0,1.0,1.0,1.0
G06000109107026000441602U3,G06000104416023,060014416023,1.0,1.0,1.0,1.0
G06000109107026000441602U4,G06000104416024,060014416024,1.0,1.0,1.0,1.0
G06000109107026000441700U1,G06000104417001,060014417001,1.0,1.0,1.0,1.0
G06000109107026000441700U2,G06000104417002,060014417002,1.0,1.0,1.0,1.0
G06000109107026000441700U3,G06000104417003,060014417003,1.0,1.0,1.0,1.0
G06000109107026000441700U4,G06000104417004,060014417004,1.0,1.0,1.0,1.0
