"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"1400000US06001437101","Census Tract 4371.01, Alameda County, California","92849","13588","null","null",
"1400000US06001437102","Census Tract 4371.02, Alameda County, California","65493","4426","null","null",
"1400000US06001437200","Census Tract 4372, Alameda County, California","60631","7734","null","null",
"1400000US06001437300","Census Tract 4373, Alameda County, California","53068","13253","null","null",
"1400000US06001437400","Census Tract 4374, Alameda County, California","69375","14548","null","null",
"1400000US06001437500","Census Tract 4375, Alameda County, California","47361","7101","null","null",
"1400000US06001437600","Census Tract 4376, Alameda County, California","61865","5402","null","null",
"1400000US06001437701","Census Tract 4377.01, Alameda County, California","49196","17034","null","null",
"1400000US06001437702","Census Tract 4377.02, Alameda County, California","36392","6108","null","null",
"1400000US06001437800","Census Tract 4378, Alameda County, California","77738","20919","null","null",
"1400000US06001437900","Census Tract 4379, Alameda County, California","49135","4540","null","null",
"1400000US06001438000","Census Tract 4380, Alameda County, California","69258","16482","null","null",
"1400000US06001438100","Census Tract 4381, Alameda County, California","85776","14778","null","null",
"1400000US06001438201","Census Tract 4382.01, Alameda County, California","61314","7166","null","null",
"1400000US06001438203","Census Tract 4382.03, Alameda County, California","74924","21714","null","null",
"1400000US06001438204","Census Tract 4382.04, Alameda County, California","66111","13958","null","null",
"1400000US06001438300","Census Tract 4383, Alameda County, California","75984","12049","null","null",
"1400000US06001438400","Census Tract 4384, Alameda County, California","73375","18737","null","null",
"1400000US06001440100","Census Tract 4401, Alameda County, California","73100","12527","null","null",
"1400000US06001440200","Census Tract 4402, Alameda County, California","50232","7776","null","null",
"1400000US06001440301","Census Tract 4403.01, Alameda County, California","66408","11061","null","null",
"1400000US06001440304","Census Tract 4403.04, Alameda County, California","91696","16701","null","null",
"1400000US06001440305","Census Tract 4403.05, Alameda County, California","93333","20035","null","null",
"1400000US06001440306","Census Tract 4403.06, Alameda County, California","86818","22146","null","null",
"1400000US06001440307","Census Tract 4403.07, Alameda County, California","58462","19037","null","null",
"1400000US06001440308","Census Tract 4403.08, Alameda County, California","68377","8375","null","null",
"1400000US06001440331","Census Tract 4403.31, Alameda County, California","73713","11117","null","null",
"1400000US06001440332","Census Tract 4403.32, Alameda County, California","163125","34062","null","null",
"1400000US06001440333","Census Tract 4403.33, Alameda County, California","114500","18627","null","null",
"1400000US06001440334","Census Tract 4403.34, Alameda County, California","99761","9493","null","null",
"1400000US06001440335","Census Tract 4403.35, Alameda County, California","127231","7171","null","null",
"1400000US06001440336","Census Tract 4403.36, Alameda County, California","71000","15565","null","null",
"1400000US06001441100","Census Tract 4411, Alameda County, California","101597","14698","null","null",
"1400000US06001441200","Census Tract 4412, Alameda County, California","91491","11330","null","null",
"1400000US06001441301","Census Tract 4413.01, Alameda County, California","116768","13053","null","null",
"1400000US06001441302","Census Tract 4413.02, Alameda County, California","100417","7957","null","null",
"1400000US06001441401","Census Tract 4414.01, Alameda County, California","78750","14721","null","null",
"1400000US06001441402","Census Tract 4414.02, Alameda County, California","94375","21250","null","null",
"1400000US06001441501","Census Tract 4415.01, Alameda County, California","123750","14959","null","null",
"1400000US06001441503","Census Tract 4415.03, Alameda County, California","129083","20133","null","null",
"1400000US06001441521","Census Tract 4415.21, Alameda County, California","118125","12851","null","null",
