"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"1400000US06001433500","Census Tract 4335, Alameda County, California","76656","null","17249","null",
"1400000US06001433600","Census Tract 4336, Alameda County, California","58077","null","10217","null",
"1400000US06001433700","Census Tract 4337, Alameda County, California","59632","null","7344","null",
"1400000US06001433800","Census Tract 4338, Alameda County, California","49929","null","6598","null",
"1400000US06001433900","Census Tract 4339, Alameda County, California","39604","null","8342","null",
"1400000US06001434000","Census Tract 4340, Alameda County, California","41618","null","7169","null",
"1400000US06001435102","Census Tract 4351.02, Alameda County, California","115123","null","14934","null",
"1400000US06001435103","Census Tract 4351.03, Alameda County, California","155052","null","23472","null",
"1400000US06001435104","Census Tract 4351.04, Alameda County, California","52755","null","14558","null",
"1400000US06001435200","Census Tract 4352, Alameda County, California","97833","null","14996","null",
"1400000US06001435300","Census Tract 4353, Alameda County, California","62931","null","11477","null",
"1400000US06001435400","Census Tract 4354, Alameda County, California","52702","null","5935","null",
"1400000US06001435500","Census Tract 4355, Alameda County, California","50625","null","7629","null",
"1400000US06001435601","Census Tract 4356.01, Alameda County, California","44831","null","9850","null",
"1400000US06001435602","Census Tract 4356.02, Alameda County, California","56489","null","7431","null",
"1400000US06001435700","Census Tract 4357, Alameda County, California","74306","null","7506","null",
"1400000US06001435800","Census Tract 4358, Alameda County, California","63012","null","5291","null",
"1400000US06001435900","Census Tract 4359, Alameda County, California","86154","null","6861","null",
"1400000US06001436000","Census Tract 4360, Alameda County, California","76536","null","12308","null",
"1400000US06001436100","Census Tract 4361, Alameda County, California","72266","null","13701","null",
"1400000US06001436200","Census Tract 4362, Alameda County, California","43516","null","4412","null",
"1400000US06001436300","Census Tract 4363, Alameda County, California","55867","null","4189","null",
"1400000US06001436401","Census Tract 4364.01, Alameda County, California","75263","null","6453","null",
"1400000US06001436402","Census Tract 4364.02, Alameda County, California","118011","null","10507","null",
"1400000US06001436500","Census Tract 4365, Alameda County, California","51875","null","16061","null",
"1400000US06001436601","Census Tract 4366.01, Alameda County, California","60773","null","4671","null",
"1400000US06001436602","Census Tract 4366.02, Alameda County, California","41914","null","11692","null",
"1400000US06001436700","Census Tract 4367, Alameda County, California","78578","null","12883","null",
"1400000US06001436800","Census Tract 4368, Alameda County, California","60904","null","11013","null",
"1400000US06001436900","Census Tract 4369, Alameda County, California","56334","null","3189","null",
"1400000US06001437000","Census Tract 4370, Alameda County, California","69318","null","7344","null",
"1400000US06001437101","Census Tract 4371.01, Alameda County, California","101500","null","7359","null",
"1400000US06001437102","Census Tract 4371.02, Alameda County, California","62682","null","6669","null",
"1400000US06001437200","Census Tract 4372, Alameda County, California","77130","null","18755","null",
"1400000US06001437300","Census Tract 4373, Alameda County, California","67361","null","8236","null",
"1400000US06001437400","Census Tract 4374, Alameda County, California","70664","null","11268","null",
"1400000US06001437500","Census Tract 4375, Alameda County, California","41469","null","5503","null",
"1400000US06001437600","Census Tract 4376, Alameda County, California","59712","null","8267","null",
"1400000US06001437701","Census Tract 4377.01, Alameda County, California","46336","null","9068","null",
"1400000US06001437702","Census Tract 4377.02, Alameda County, California","50225","null","15007","null",
"1400000US06001437800","Census Tract 4378, Alameda County, California","74096","null","10173","null",
"1400000US06001437900","Census Tract 4379, Alameda County, California","59063","null","14278","null",
"1400000US06001438000","Census Tract 4380, Alameda County, California","72898","null","12690","null",
"1400000US06001438100","Census Tract 4381, Alameda County, California","85660","null","11142","null",
"1400000US06001438201","Census Tract 4382.01, Alameda County, California","63715","null","9912","null",
"1400000US06001438203","Census Tract 4382.03, Alameda County, California","72031","null","15972","null",
"1400000US06001438204","Census Tract 4382.04, Alameda County, California","59648","null","7202","null",
"1400000US06001438300","Census Tract 4383, Alameda County, California","69914","null","10034","null",
"1400000US06001438400","Census Tract 4384, Alameda County, California","77750","null","9126","null",
"1400000US06001440100","Census Tract 4401, Alameda County, California","66354","null","5727","null",
"1400000US06001440200","Census Tract 4402, Alameda County, California","60461","null","9529","null",
"1400000US06001440301","Census Tract 4403.01, Alameda County, California","77167","null","16251","null",
"1400000US06001440304","Census Tract 4403.04, Alameda County, California","86071","null","15143","null",
"1400000US06001440305","Census Tract 4403.05, Alameda County, California","98750","null","10290","null",
"1400000US06001440306","Census Tract 4403.06, Alameda County, California","79688","null","7420","null",
"1400000US06001440307","Census Tract 4403.07, Alameda County, California","47917","null","7749","null",
"1400000US06001440308","Census Tract 4403.08, Alameda County, California","71130","null","11089","null",
"1400000US06001440331","Census Tract 4403.31, Alameda County, California","70152","null","12730","null",
"1400000US06001440332","Census Tract 4403.32, Alameda County, California","159545","null","12923","null",
"1400000US06001440333","Census Tract 4403.33, Alameda County, California","106964","null","15477","null",
