"GEO_ID","NAME","B19013_001M","B19013_001MA","B19013_001E","B19013_001EA",
"1400000US06001451201","Census Tract 4512.01, Alameda County, California","13741","null","87500","null",
"1400000US06001451202","Census Tract 4512.02, Alameda County, California","12420","null","93618","null",
"1400000US06001451300","Census Tract 4513, Alameda County, California","15273","null","94953","null",
"1400000US06001451401","Census Tract 4514.01, Alameda County, California","11434","null","86458","null",
"1400000US06001451403","Census Tract 4514.03, Alameda County, California","13320","null","87917","null",
"1400000US06001451404","Census Tract 4514.04, Alameda County, California","13910","null","67342","null",
"1400000US06001451501","Census Tract 4515.01, Alameda County, California","12462","null","89360","null",
"1400000US06001451503","Census Tract 4515.03, Alameda County, California","12180","null","86375","null",
"1400000US06001451504","Census Tract 4515.04, Alameda County, California","22542","null","101250","null",
"1400000US06001451505","Census Tract 4515.05, Alameda County, California","21907","null","120673","null",
